row_number,text,classification
10,"""Buster Keaton was finding his feature length voice in ""Three Ages."" There are some fine sequences, but it doesn't quite hang together. The ""chariot race"" in ""Three Ages"" is hilarious. Included are 2 shorts, one of which, ""The Goat,"" is excellent.""",2
11,"""I saw this on a Cantonese VCD with the English subtitles. I thought the story was good but there were times when some of the subcharacters were grossly over-acting. This took away from the film as did the fairly lame musical score, which really irked me throughout the entire movie. If the musical score was improved I could overlook the few overacted scenes. Then the film would be much, much better.""",2
12,"""Hardly a masterpiece. Not so well written. Beautiful cinematography i think not. This movie wasn't too terrible but it wasn't that much better than average. The main story dealing with highly immoral teens should have focused more on the forbidden romance and why this was... should have really gotten into it instead of scraping the surface with basically ""because mom says we can't."" Some parts should have been dropped altogether or reworked to have more importance to the plight of the two main characters. Couple times i was wondering if the writer/director was a fan of George Lucas' classic American Graffiti. Not that it's wrong to be a fan of that movie but to make your movie at times look like that, i mean come on! Worst part of this was that Madchen Amick had such a small part, i mean double come on!! She was the only one, in one or two lines, who actually tried a southern accent. (Take a good listen, it was there even though her character was from California! DOH!!) Maybe if she was the star others could have followed and we would have had a more authentically sounding movie. Oh well, what can ya do when you have a director who's just a director and not an artist, also. Too bad. Overall i give this a B- and that's being a little generous 'cause i'm partial to Ms. Amick.""",2
13,"""I have to say the worst part of the movie was the first half hour. I was really confused about who was who. For example, Bill Paxson's character had long hair and was wearing a jacket. Then, when all the males arrived at camp, it turned out there was a character who looked like Bill Paxson, but wasn't. I said where's Bill Paxson? Then, there was a guy with his girlfriend. He said she was 21. This was supposed to be a 20-year reunion of the camp director's (Alan Arkin) most memorable. Later on, this same girl was interacting and talking about her camp experiences. That made no sense. She would have been one years old. That said, the movie turned out to be pretty good. Kevin Pollak was the nice guy who was always being teased. One guy was a complete narcissist, and ended up losing his beautiful girlfriend. Alan Arkin was interesting as an old-style camp director, who admits that he has grown out of touch with modern youth. The best part was that none of the grown-up campers were successes in life. None of them had very great careers. This seemed very real life. The movie was compared to The Big Chill. In some ways it wasn't as exciting as the Big Chill, but it was a lot more realistic. So, even though the beginning is not promising, the movie ended up turning into a pretty good one.""",2
14,"""In light of bad reviews - or car crashes - I feel possessed to get in gear and make a transmission to give merit where due, and do a service. I'm not sure people have license to say it was so bad, almost automatically.<br /><br />It's rare for a movie to have SUSPENSE. This movie maintained suspense it's whole length, for me, despite any flaws that may be. How many films can say that? Not even many big ones. Because of the simple premise you don't know if the people will get out of the life-threatening situation, which lasts the whole movie. Yeh, the suspension was tight, and over some bumps the shocks did their work. It's not just a TV movie, but an all-action movie; there is no point where it stops, or deviates, or becomes talky. It would be hard to make a film like this, always on the road. Only Duel, or Speed, are this that I recall. The best thing in them also was the constant tension.<br /><br />ACTING is not bad: The Judge is as good as ever, and the others are. <br /><br />SCRIPT is good. But the jury is out as to whether it sometimes may be - or seem to be - a little awry. What seems unrealistic is not necessarily so. Your first judgments are not always right, but I think the lead actor's was right in being in this movie.<br /><br />STUNTS are mostly terrific, especially for a TV movie. Their only failing may be the noticeable, and again, apparent, slow speed. But we all know how deceivingly slow Grand Prix cars can look.<br /><br />I liked that THE BEGINNING said, ""inspired by a true story."" So you are not going to go how much is true? You know just the basis is. The usual ""based on a true story"" makes me think it should mostly be true. But maybe that's my error.<br /><br />HOW TO SAVE THEM: Good idea of the reviewer to suggest a tow truck to lift the back wheels up. Just a few inches would do. A stunt driver could do that at 100 mph. Odd that they didn't call a car expert - or auto electrician or mechanic - to see if there's a way.<br /><br />I hope this review has put in reverse that this film is a disaster. Or at least neutral. And help it become a runaway success.<br /><br />Pic quality is a little soft for a DVD.<br /><br />SPOILER: They would have been winched out after the baby was, but strangely that life-saving idea was cleverly dealt with in some joking conversation to fade it out. I guess we know why. End of movie. Suspension of disbelief went out the top window with the baby.""",2
15,"""From what I've read a lot of people were disappointed by this film, compared to Part 1. Initially I could understand this but after a bit of thought I think they are wrong to be. Soderbergh continues his fact based telling of Che's life that he started in Part 1. Part 1 told a story of a revolution moving from unpromising beginnings to an ultimately successful conclusion. Part 2 tells a story of a revolution that moves from unpromising beginnings to a completely unsuccessful conclusion. It is not Soderbergh's fault that these 2 parts of Che's life had completely different outcomes. He bravely chooses to tell both in a fairly straightforward way. The viewer may feel a lot better coming out of the cinema after Part 1 than Part 2 but that is the reality of Che's life and not in my opinion any fault of the director. The film is far from perfect. It is probably too long. At least in Part 1 we saw different aspects of the war as the guerrillas had successes. In Part 2 they can't catch a break and we see their numbers constantly being reduced by death and capture. Che's capture and death are dealt with well. The film is greatly enhanced by the dialogue being in Spanish. Benicio Del Toro is again excellent as the charismatic Argentinian. So if you've seen Part 1 you will see a very similar telling of a very different story in Part 2.""",2
16,"""I've read the other reviews and found some to be comparison of movie v real life (eg what it takes to get into music school), Britney Bashing, etc, etc. so let's focus on the movie and the message.<br /><br />I have rated this movie 7 out of 10 for the age range 8 to 14 years, and for a family movie. For the average adult male.... 2 out of 10.<br /><br />I like pop/rock music, i'm 45. I know of Britney Spears but never realised she actually sang Stronger until i read the credits and these reviews. I didn't recognise her poster on the wall so I was not worried about any 'self promotion'.<br /><br />I watch movies to be entertained. i don't care about casting, lighting, producers, directors, etc. What is the movie and does it entertain me.<br /><br />I watched this movie for the message. The world's greatest epidemic is low self-esteem (which is a whole other story) so watched with the message in mind, as that is an area of interest. The movie is light, bright and breezy, great for kids. I found the Texan twang began to fade throughout the movie and of course there are only so many ways to convey the give up/don't give up message, so yeh, it was a bit predictable. Great message though...should be more of them.<br /><br />This movie is a great family movie, but for a bloke watching by himself, get Hannibal.""",2
17,"""I wanted to see Sarah Buffy on the big screen, so I first bought tickets and then checked the reviews at IMDb. I worried about seeing a bad movie. Well, I had fun watching the movie. Some parts, which obviously were meant to be scary, were actually quite humoristic, almost as in Buffy the Vampire Slayer.<br /><br />I don't consider this a bad movie. It's not a great movie either. Just a rather well made horror movie. It does not rely heavily on special effects, but on camera angles, acting, music. In my opinion, the acting was OK. Sarah did a very good job, quite convincing. The other actors were definitely not bad either, I liked Yoko.<br /><br />The sets are nice (and I don't care that the sets are the exact same ones that were used in the Japanese original).<br /><br />The scary moments were often predictable. But not always. I have seen quite some horror, and did not expect to be scared now, but it happened at least twice. Nice.<br /><br />The movie had some nice scenes that were almost original, like the trails of rubbish, the simple special effects for he ghosts, the eyes of the boy, the cat that made eery noises, the gurgling of the dead boy and his mother.<br /><br />Don't go if you want to see Sarah in another Buffy episode, because it is very different from her Buffy work, much more serious. Don't go if you only want to see movies that gather Oscar nominations. It's a good horror movie, enough suspense. I gave it a 7.""",2
18,"""I've just purchased the restored version of a film that I remember with much affection from childhood and it's certainly made for a curious afternoon's entertainment. Bedknobs definitely makes more sense in its complete form, the deleted scenes (especially those with McDowall) link events together quite neatly. What is a little disconcerting is the way the scenes have been remastered. Clearly, the soundtrack to this footage had been lost or damaged, so some bright spark at Disney decided to dub the scenes with new dialogue. Which would have been great except that half the cast weren't around to do it (some for better reasons than others) and the whole thing has a rather shoddy quality to it. Some of the lip-synching is pretty poor, and David Tomlinson's voice has been dubbed by a bloke who sounds absolutely nothing like David Tomlinson (there's actually a hint of German in it, I think). However, good to hear the full versions of all the songs (although 'Step in the right Direction' is still absent) and the moments of magic in this film still shine through. And I challenge you not to giggle when young Paul gazes so innocently at Angela Lansbury and coos ""but what's that got to do with my knob??""""",2
19,"""Financially strapped Paramount pulled out all the stops for this '34 stage adaptation entry: big budget, large cast, extravagant production and Mitch Leisen tagged as the director. What happened? Two things: Busby Berkeley didn't work for the out-of focus rock and a murder mystery script that didn't deserve to be in the same trash can as the worst Charlie Chan first draft down the street. I have to believe that the cutting was out of Leisen's hands since the great Duke Ellington's number is savagely chopped, but that doesn't mean that it ain't worth a look: the 'Sweet Marihuana' number featuring topless chorus girls is a mind blower, considering the looming production code and it also has the ravishing Toby Wing (whose unfortunately fed horrible lines and playing the prototype dumb blonde) as a chorion hot for an otherwise preoccupied Jack Oakie. Carl Brisson's acting is bland as Melba Toast but he's a competent singer. MacLaglen reaches for new plateaus as a stereotypical dumb detective. And try to spot Lucy in the chorus. This rates a 7.0 as a curiosity. Feb 2010 re-think: I recently gave the film another look and now feel I was wrong to berate the lack of Busby Berkeley production numbers. I can understand Leisen's argument for more realistic production numbers within the context of the plot. I still have enormous issues with the editing however. Paramount, the raciest major studio in town, faced huge issues with the Production Code at the worst possible time in it's history, financially speaking, and pulled out all the stops on this one (also check out 1934's Search for Beauty). A must see for pre-code buffs.""",2
20,"""This film is an absolute classic for camp. That is why it was an Elvira and MST3000 classic. Everyone knows the story. Scientist keeps his girlfriend's head alive in a lasagna pan in his basement while he cruises town and tries to find her a body by checking out the local chicks. Finally he finds a real hourglass body with a scar-faced chick's head on top. The severed head makes friends with the failed experiment in the closet and the conehead comes out of the closet and rips off the assistant's remaining ""good"" arm (his other is not right from a scientist's earlier failure), and the whole place burns down.<br /><br />The movie scared us so much as kids that my friend wouldn't go into his basement for a year after seeing it. As kids we ranked the scariest movies of all time and this one was number four. Only one of those scary movies was really any good (the Original ""The Haunting"".)<br /><br />I had to give this movie a seven rating for the tremendous amount of entertainment value it offers. Its eerie effect because of the crappy production and the weird sexual angle when the scientist looks for the bodies (complete with porno sound track) scares the hell out of innocent children, while the ridiculous aspects make it prime material for watching talking and laughing. I could watch this film tonight and enjoy it while I'd rather go to the Dentist than watch ""Chicago"" again.<br /><br />Seven is the most I can give it, because its entertainment value is mere luck. The film , as cinema, is a disaster.""",2
21,"""After reading some quite negative views for this movie, I was not sure whether I should fork out some money to rent it. However, it was a pleasant surprise. I haven't seen the original movie, but if its better than this, I'd be in heaven.<br /><br />Tom Cruise gives a strong performance as the seemingly unstable David, convincing me that he is more than a smile on legs (for only the third time in his career- the other examples were Magnolia and Born on the Fourth of July). Penelope Cruz is slightly lightweight but fills the demands for her role, as does Diaz. The only disappointment is the slightly bland Kurt Russell. In the movie, however, it is not the acting that really impresses- its the filmmaking.<br /><br />Cameron Crowe excels in the director's role, providing himself with a welcome change of pace from his usual schtick. The increasing insanity of the movie is perfectly executed by Crowe (the brief sequence where Cruise walks through an empty Time Square is incredibly effective). The soundtrack (a distinguishing feature of a Crowe movie) is also sublime.<br /><br />You will be shocked and challenged as a viewer. The plot does seem a little contrived but the issues explored behind it are endlessly discussable. The movie isn't perfect, but its a welcome change of pace for Cruise and Crowe and for those raised on a diet of Hollywood gloss, should be a revelation.""",2
22,"""This is yet another tell-it-as-it-is Madhur Bhandarkar film. I am not sure why he has this obsession to show Child moles***ion and g*y concepts to the Indian filmy audience, but I find some of those scenes really disgusting! What's new? It is a nice piece put together by Bhandarkar, where he shows the story of an entertainment reporter played by leading lady in the famous film, Mr & Mrs Iyer. What makes this movie different is, that it also covers the stories of people that this reporter interacts with or is friends with, such as her roomies, her colleagues, film stars, models, rich people and others featured in the Entertainment Page#3 in her newspaper.<br /><br />Noticeable: It is another good performance from Mrs Iyer. She is likely to be noticed for this role. She does selective roles but shines in them. She is noticeably de-glamorized and less beautiful in this film. But then, entertainment reporters are not supposed to outshine the people they cover, right? Verdict: Madhur has come up with another good movie, that brings social issues to the limelight very nicely. However, this movie loses focus and one is not sure what the director is trying to convey.<br /><br />Is he trying to show us the glitz and glamor of the rich people? or is he trying to show us the life of an entertainment reporter and contrasting that with the life of the REAL crime reporter? Is he trying to tell us how the government and rich folks rule the press? or is he trying to illustrate the issues with child abuse and g*y folk. The other concepts brought forth include the unwritten rule that young women have to sleep with directors or co-stars, if they wish to enter Bollywood.<br /><br />In addition, he talks about how flight assistants get sick and tired of their jobs after a while and resort to extreme measures by marrying much elder people, etc. He also talks about unhappy women and spoilt kids in rich families.<br /><br />This was all okay for me.. but might be too complex for an average movie-goer, who just wants to relieve some stress from day to day work""",2
23,"""I could not agree less with the rating that was given to this movie, and I believe this is a sample of how short minded most of spectators are all over the world. Really... Are you forgetting that Cinema used to be a kind of art before some tycoons tried to make it only entertainment? This movie is not entertainment, at least not that easy entertainment you get on movies like Titanic or Gladiator. It has style, it is different, it is shocking... That's why most of you have hated it so much: because it does not try to be pleasing to you. It's just a story, a very weird one I admit, but after all, only a weird story. It is not a great story, not even a great cinema work, but I believe it is worth a 7-stars rating only for the courage of both author and director to shot a story that is not made to please the audience, thus selling billions of copies and making the big studios even richer. This movie is, for me, European-artistic-like movie made in the US, and everyone involved in the making of it deserves respect. Be it for the courage, or be it for the unique sense of humor.""",2
24,"""I loved this movie. I'm a Mexican and was in the least offended by it. In fact, I think this movie should be shown at police headquarters all over Mexico. It's a sad truth that our police system is as rotten as a 3 month old corpse. It angers me to read in the news how killers, kidnappers and other slime go free by paying a laughable fine or live like kings inside prison cells. We should have someone like Creasy, Denzel Washington's character. A bodyguard turned vengeful vigilante. Kidnapping is flourishing industry down here (at least in the big cities). I actually wish real life kidnappers could suffer the same fate as the one's Creasy did his fine job upon. That would be so marvelous (Sorry, I am THAT resentful!). MAN ON FIRE is a gripping film that you can't miss. It might be hard on some of you, if you aren't used to reading subtitles (Mexicans do that ALL the time while watching American movies) but the effort will be well worth it. Some of the editing is a bit fuzzy...kind of like TRAFFIC, remember? (another brilliant take on how corrupt Mexico is). The movie starts out a bit slow but the pace picks up frantically by the second half. I swear you'll be cheering as you watch Denzel Washington dispatch the wrong doers. His performance is nothing short of Excellent. The ending (no spoilers, OK!!!) is a bit sad, but I'm sure you'll like it anyway. MAN ON FIRE is one of the year's best movies. A ""must own"" for a DVD collection! 9* out of 10""",2
25,"""this was a fabulous adaptation of Jane Eyre. the only problem i had with it was that i didn't like Zelah Clarke. i thought she was too old and made Jane seem much to timid. in the book Jane seemed like a much stronger character. i was really annoyed by this portrayal of her. the part where it's the morning after Rochester asks her to marry him and she runs up to him and hugs him always makes me laugh. i think they made a bad choice in casting her. but Dalton was absolutely wonderful as Rochester. he makes this version of Jane Eyre worth seeing. another thing that made this version not quite 100% was the quality of film. i know it was made in the eighties for TV. if it had been a feature film, and better quality, it would have been perfect. my main complaint however, is that Zelah Clarke was definitely too old.""",2
26,"""I have very fond memories of this film, as I saw it with my two younger sisters when it first shown theatrically in 1977 and I was eight years old. Apparently it was deemed a failure - and is now practically forgotten (the pan-and scan videocassette - which never did justice to the picture or it's ambitious Panavision compositions is now out-of -print.) The film is very stylized (shades of YELLOW SUBMARINE) and admittedly uneven. Some of the characters and sequences are exquisite while others are somewhat juvenile and undistinguished. The sad discarded blue camel (shades of Eeyore) and his blue song are truly heartwarming. Joe Raposo's songs are for the most part simply beautiful. Definitely a worthwhile curiousity that will probably (sadly) fall into total obscurity.""",2
27,"""Once a year ""comes"" a movie like that and makes things easy for you. You don't have make an effort to think it is good, it's just is. You enjoy it while you watch it, and you take it home with you. I can't say it is totally flawless, but it's near. Acting - great, story -interesting and with elements of suspense. It's a small family story, pretty much predictable, but it's not the secret itself that matters. it is the way the it takes the blind girl to reach it. I was impressed by the way the director portrayed their deep relationship (the blind girl and her cousin). The only thing I didn't like that much is the actress that played the mother, she was too tough and without necessity. Keren""",2
