row_number,text,classification
10,"""An unpleasant woman and an equally unpleasant man are violently and horribly assaulted by a group of two-dimensional psycho thugs during a night-time encounter on a forest road in Shropshire, England. The man and woman who were assaulted plan and carry out a revenge attack on their attackers...<br /><br />Utterly repellent piece of voyeuristic trash, somehow masquerading as 'thought-provoking' drama, whilst actually coming across as sub-Michael Winner cr*p (you just know that Oliver Reed and Susan George would have been cast had it so easily have been made in the 1970s). What happens to Alice (Gillian Anderson) and Adam (Danny Dyer) is appalling and devastating, yet Dan Reed somehow manages to rub the viewer's nose in every last glob of its sexual nastiness. His camera lingers hungrily on Anderson's naked body both during and after the assault, whilst the script leaves almost all the characters floundering in a turgid sea of two dimensional cliché. His script forces his characters to behave in such a way as to alienate the viewer further from the 'victims' by shoving more ghastly situations into their faces (Adams's attempted post-incident assaults on both Sophie and Alice; Alice's assault on Heffer AFTER his suicide-attempt confession).<br /><br />The quandary comes from the central protagonists' performances - Dyer is a horrible actor, incapable of light and shade as the young male victim of the initial assault (he'll end up in Eastenders, mark my words), but Anderson is extraordinary. Even as the atrocious script forces her character to behave in depraved and ludicrous ways, she somehow delivers an extraordinarily compelling and complicated characterisation as a self-indulgent, arrogant hedonist who encounters such horrors and needs to retaliate.<br /><br />A vile and pointless film then, almost but not quite rescued by a compelling central female performance.""",0
11,"""His first movie after longtime friend John Belushi's death, Aykroyd shows much fatigue trying to pull off a character that would have been a snap for Belushi.<br /><br />Instead, ""Doctor Detroit"" gives us bookish professor Aykroyd masquerading as a weird, violent pimp to ward off a rival known only as Mom. That's bad enough, but he also has classes to teach, a school dinner to host, four ladies of the evening to protect and a Pimp's Dinner (or something like that) to attend. No wonder Aykroyd seems stupefied most of the time. Why should the viewer be alone?<br /><br />It was on this film that Aykroyd met future wife Donna Dixon. At least some good came out of this chaotic mess.<br /><br />One and a half stars. You want good Aykroyd, see ""The Blues Brothers"". You want bad, see ""Doctor Detroit"".""",0
12,"""Alas, poor Hamlet. I knew him, dear reader, and let me tell thee, THIS VERSION SUCKS! I don't know who of all people put up the money for this flotsam, but I hope that they're proud of themselves. They took THE classic play and turned it into the most boring melodrama imaginable. This version is quite literally so bad, that not even the presence of a great thespian like Maximilian Schell in the title role can save it. This movie's only redeeming quality is that it made great fodder for ""MST3K""; Mike, Servo and Crow had a lot of fun with this one.<br /><br />But either way, I'm sure that Shakespeare, had he been alive when they made this, would not have wanted his name associated with it. This ""Hamlet"" is not even so bad that's it good; it's just plain bad. Absolutely dreadful.""",0
13,"""Seeing as I hate reading long essays hoping to find a point and being disappointed, I will first tell everyone that this movie was terrible. Downright terrible. And not, surprisingly for the reasons mentioned in the first review. I thought I might agree with him, seeing as he gave the movie the rank it deserved, but was sorrowfully rebuked upon reading what he said. I am quite ashamed to be taking the same side as someone who commented that the movie ""definitely lacks good-looking females."" Let me be the first to say, ""Wow! that was definitely some serious in-depth reviewing there. My mind can hardly comprehend the philosophical musings about this movie."" Seriously though, a lack of ""good-looking females"" shouldn't be considered an essential to a movie. If you're desperate enough for ""good-looking females"" you should really watch other types of movies, not necessarily falling into the sci-fi category.""",0
14,"""**SPOILERS**This was an ugly movie, and I'm sorry that I watched it. Like Jan Kounen's Dobermann, it suffers mostly from poor editing--or lack of it. It is as if the director was so in love with his work that instead of cutting the movie down to a pace that kept your attention, he added all of the footage he had shot together. There are maybe two cool scenes in the entire movie. One of them is *SPOILER* when Benkei is petrified and the camera starts spinning around him. That was cool--but okay, we got it! Move on please! The camera won't stop spinning around this guy! There's maybe one or two more cool scenes that I forgot about in this flood of mediocrity, but the last duel scene IS NOT ONE OF THEM! It may be because unlike in the earlier sword-handling scenes, Shanao isn't masked--but just because the director couldn't find a stuntman who somewhat resembled Asano Tadanobu doesn't give him the right to go ahead and make up 80% of the sword fight with extreme close-ups of sword clashes! And all from the same angle, may I add. The director should learn from the American produced 1995 bullet-train ninja movie The Hunted! I personally saw the village raid scene as a tribute paid to the social activists of the previous generation who were confronted by the police in the violent demonstrations of their college years. The situation where innocence is oppressed by an authoritative and armed branch of the government unwilling to understand seems to be a message common in the Japanese media, due to the strong influence of socialists and communists who are a political minority. The movie versions of GTO and Salary Man Kintaro are two other recent examples *END SPOILER* I don't understand. I just don't understand why people who don't speak the language of the movie find praise worthy material in this. Maybe the worst was lost in the translation.<br /><br />The ending of the movie--on which marketing played a lot, is a different interpretation of the legendary encounter between Shanao and Benkei. But that legend is not the most popular in Japanese folklore, and it is so detached from contemporary themes, that after 138 minutes of over played visual techniques, who cares how the director wants to re-interpret the story!? Director Sasaki Hirohisa of Crazy Lips said that there was an unpleasant trend among new Japanese directors to ignore Japanese audiences, and target their movies for foreign film festivals--in order to gain faster international fame. This works, although it doesn't make sense, because the point of an international movie fest is to introduce to the world what kind of movies are being made in other countries-what kind of movies people WATCH in those countries. Certainly not Gojoe and the like.""",0
15,"""A sentimental school drama set in Denmark, 1969, ""We Shall Overcome"" offers a pathetic Danish take on US culture. Frits (Janus Dissing Rathke), a flower-power obsessed, naive 13-year-old, exits with half his ear hanging off from brutal master Lindum-Svendsen's (Bent Mejding) office. Lindum-Svendsen, a school director, portrayed as a fascistoid tyrant, has the local community in control. Lindum-Svendsen's gone too far this time, and with his father, recovering from a mental breakdown (sure, there wasn't enough drama already..), and overly stereotyped hippie music teacher Mr Svale ('Hi, call me Freddie'), Frits stands up for justice.<br /><br />Tell you what. It's so unconvincing, over-(method-)acted, and so full of misery, that as a 'family' picture this grotesque -filled with cliché's- excuse for a movie fails miserably to convince non-Scandinavian audiences. Sorry, kind danish readers, to crash like this into your sentimental journeys.. But it's definitely NOT a tale about a 'boy becoming a man by fighting the system'. The boy never becomes a man, but rather remains a naive, big eyed cry-face. If you call a church of small minded small town folk, led by a dictator like cartoonish character ""the system"", I'm sorry if I'm missing something.<br /><br />If you're into family pictures, go see Happy Feet instead..""",0
16,"""I really don't get how people made this film and thought it was worth all the work they put into it. Even more puzzling are those who watched this film without feeling cheated out of 88 minutes of doing something valuable like cleaning under the couch or reading Leviticus. <br /><br />First of all, surely they could have 2 found real Irish people, and some good-looking women who could deliver their lines better than the washed up, haggard porn stars sprinkled throughout this film. Granted, the gore works- but strangely, it's not as troubling as you might think to see organs yanked out of the porn stars' hot (formerly) tight bodies left and right. Probably has something to do with the fact that after their horrific inhuman acting you just want them to die in pain.<br /><br />So, if you don't care at all about the following: <br /><br />- acting (seriously, everyone sucked. I've never witnessed this before. EVERYONE sucked).<br /><br />-plot (some crappy horror movies are remotely linear, or at the very least surprising. This movie doesn't make sense unless you're as trashed as the writers obviously were). <br /><br />- theme (Nothing to learn from this film. Nothing to be scared about in bed at night, nothing to contemplate or grasp, or explain to others). <br /><br />- soundtrack (Crap, crap, crap. Music as ordinary and dull as the script). <br /><br />- scenery (Could have been this film's saving grace, but no...nothing pleasing here. Even the rocks are fake).<br /><br />So, yeah. If you don't care about that, and you're just a horny teen with bad taste in music and ""women,"" this movie is for you. Positive comments: interesting cinematography at times, wasted on the other elements. Very realistic gore; again, wasted. But the intestines scene is classic. I agree with the mutant- disembowelment solves the fake accent problem.""",0
17,"""...was so that I could, in good conscience, tell everyone how horrible this movie is. I barely made it through twenty minutes before I started thinking to myself,""Wow, this is pretty bad."". And, to be honest, I would've given this movie 1 star if it wasn't for Esai Morales (though he had very little screen time). He's the movie's only well-acted role, which is a shame because I really like Gil Bellows...or at least I thought I did.<br /><br />While watching this I started thinking back to his part in ""Shawshank Redemption"" and realized it wasn't as good as I thought it was. Problem: his jail-house/tough guy act seems like it's just that, an act; his dialogue sounded like he was doing a very poor impression. Has he ever met someone who speaks like his character was SUPPOSED to? I doubt it, but maybe he should have.<br /><br />And, to make matters worse, they've managed to inject a little jail-house philosophy and make it seem nothing short of contrived, especially when you consider that the rhetoric was being spouted by a ""rasta"" who's accent was so strong that it seemed unnatural.<br /><br />I wouldn't normally slam a movie like this, but when I saw the movie it had a fairly favorable review. I felt like I was cheated and lied to, and I thought I should try to save someone the misery of having to watch this movie.<br /><br />I say BOOOOOOOO.""",0
18,"""I'll just put it out here, that was the Worst sequel to a classic Disney film I've EVER seen. In 1950, Disney released what I hail as one of his greatest films of all time. Now Take away the great songs, add a poor plot that resembles that of a lost TV show. ""Put it together and what do you get?"" the biggest load of Crud I've ever seen. After i saw this, I thought it was all over for Disney. Cinderella should've ended with, ""and they lived happily ever after."" not this garbage. This film did not deserve a sequel like this. I thought it would be like ""A twist in time"" which was moderate but better than this. Also, What do we care of Anastasia? She switched sides like Iago did, but it didn't help anyone.""",0
19,"""A remake of Alejandro Amenabar's Abre los Ojos, but this time with a living, breathing mask as a lead. For the dubious advantage of an English sound track, we endure Tom Cruise's soulless performance, as usual, with zero depth. Yes, the character is identified with his persona, but we usually are given some character underneath that to hold our interest. His empty posturing negates any erotic energy that could have been between his character and Cruz or Diaz.<br /><br />There is an acting exercise that involves using masks to free the actor to enrich his presentation of character by verbal and body language means. Cruise's masking only painfully emphasizes his inadequacy as an actor. Do see the 1997 original Amenabar Open Your Eyes!""",0
20,"""From the What Was She Thinking? file: Whoopi Goldberg plays a cop in the future who is teamed with a talking dinosaur (!) for a crime case involving a madman who wants to start another ice-age. Straight-to-tape oddity is embarrassing and ridiculous, a high-concept in search of itself. Apparently this was a labor of love for its writer-director, Jonathan Betuel (who also served as one of the producers); sadly, the end results are anemic, to be charitable. Goldberg's mere presence on-screen can often spark good will and laughter no matter how poor the script, but here she's drowning and you can see the unfunny results. NO STARS from ****""",0
21,"""this film is really bad....... no i mean really really bad. Tony Scott is a terrible director. out of all the films he has made i only like enemy of the state, besides that he is one of the worse directors of all time. what appalled me the most is Richard Kelly (director of Donnie Darko) did the screenplay to this. now Richard Kelly is a genius in my eyes but to be involved in this makes hope he has learnt his lesson.<br /><br />now i love Mickey Rourke's new roles but i cant even like him in this because of the terrible story and look of it. don't get me wrong i still love Mickey Rourke but he has made a few accidence's in his time and this is one of them. i don't know what to say about Keira knightly, i think she's a little too overrated. i just cant feel for her in films.<br /><br />all in all this film is bad. thats it....... 1/10.......j.d Seaton""",0
22,"""I am a HUGE Adam Sandler fan, and one day I was looking at the Cast&Crew selection on one of his DVD's and saw 'Going Overboard' and decided to go out and rent it. So I went out with a few buddies of mine and rented it. We put it on and we were shocked to see an Adam Sandler that didn't hit puberty yet, he looks as if he was 12 when this movie came out. I couldn't even watch 30 minutes of this crap, I didn't laugh, chuckle, or even smirk at this movie, actually the only time I smirked was when I saw how horrid this movie was. I could not believe how hard he tried to make the viewers laugh in this movie...and it didn't work once. Although from seeing the horribly awful camera angles and hearing the disgusting script I realized why I had never heard of this movie,...because it sucks more than anything has ever sucked before. This movie, in my opinion, was the WORST movie EVER made,....EVER!""",0
23,"""JUST CAUSE showcases Sean Connery as a Harvard law prof, Kate Capshaw (does she still get work?) as his wife (slight age difference) and Lawrence Fishburne as a racist southern cop (!) and Ed Harris in a totally over the top rendition of a fundamentalist southern serial killer.<br /><br />Weird casting, but the movie plays serious mindf** with the audience. (don't read if you ever intend to seriously watch this film or to ever watch this film seriously due to the spoilers) First of all, I felt myself rolling my eyes repeatedly at the Liberal stereotypes: the cops are all sadistic and frame this black guy with no evidence. The coroner, witnesses and even the lawyer of the accused collaborate against him (he is accused of the rape and murder of a young girl) because he is black.<br /><br />Connery is a Harvard law prof who gives impassioned speeches about the injustices against blacks and against the barbarous death penalty. He is approached by the convicted man's grandmother to defend him and re-open the trial.<br /><br />Connery is stonewalled (yawn...) by the small town officials and the good IL' boys club but finds that the case against Blair, the alleged killer, now on death row, was all fabricated. The main evidence was his confession which was beaten out of him.<br /><br />The beating was administered by a black cop (!) who even played Russian roulette to get the confession out of him. Connery finds out that another inmate on death row actually did the murder and after a few tete a tetes with a seriously overacting, Hannibal Lecter-like Ed Harris, he finds out where Harris hid the murder weapon.<br /><br />He gets a re-trial and Blair is freed.<br /><br />I think... film over....<br /><br />Then suddenly! It turns out that Blair IS a psychotic psycho and that he used ""white guilt"" to enlist Connery. He concocted the story with Ed Harris in return for Blair carrying out a few murders for Harris.<br /><br />now Blair is on the loose again, thanks to Connery's deluded PC principles! The final 30 min. are a weird action movie tacked onto a legal drama, Connery and Fishburne fighting the serial killer in an alligator skinning house on stilts (yes, you read that right) in the everglades.<br /><br />That was one weird film.<br /><br />So the whole system is corrupt and inefficient, the cops are all just bullies and Abu Graib type torturers, but the criminals are really psychotics and deserve to fry.<br /><br />Truly depressing on every level! The system is completely rotten and the PC white guilt types who challenge it are seriously deluded too.<br /><br />Two thumbs down. Connery obviously had to make a mortgage payment or something.""",0
24,"""No laughs whatsoever. Yes, I watched this entire train wreck but only so that I wouldn't later wonder if Cleese had come to his senses in the latter part. (No, he had not.) <br /><br />This may be historically interesting to you youngsters out there, to see that British ""humor"" included black ""jokes"" like these, thirty years ago. <br /><br />What amazes me even more though, is to read the other reviewers' comments, which acknowledge this isn't very good, yet then turn around and give it high votes. If the vast majority of the comedies that you have seen are even much worse than this one, then I certainly pity your torturous existences. <br /><br />The humor level of this show appears aimed at little kids, yet the subject matter does not. So who is this for? People who enjoy repeated & drawn-out double-takes, pratfalls, drug jokes (interesting only as a short trip back to '77), and other ""low"" humor. The Three Stooges are still funny, and were to me as a kid, too. THEY exerted some effort in making jokes work. This however is sloughed off schlock. I fear that it IS the end of civilization, if this stuff really is accepted as worthwhile. Next you'll be telling me that tabloid TV is popular. :(""",0
25,"""William Hurt scuba diving scientist??? US agents running the investigation abroad? The sick contaminated man kicking butt after falling 20 feet on his back and running away? Sniper missing and not killing Hurt (just wounding him) but the second ""kill"" shot is dead on ? Waste of time. To compare this to falling down as other reviewers did is ridiculous. Oh and by the end of the movie they decide to start wearing gloves on their hands except for the ""evil"" agent and Hurt decides to kill him by giving him the ""virus handshake"". What? BTW...when did IMDb require 10 lines of text? I'm just babbling here. Doesn't this just dillute the content of reviews if you are required to have x amount of lines?""",0
26,"""It was just a terrible movie. No one should waste their time. Go see something else. This movie is, without a doubt, one of the worst movies I have ever seen in my life. If you want to see a good movie, don't see Made Men.""",0
27,"""Set in South Africa, a young black guy tries to land a part in a 'gangsta' movie. But with no knowledge of street life, he's told to find out what that life is really like or he won't get the part. He manages to work his way into a gang led by an old friend of his from school and his chances of appearing in the film decline as he commits crimes to be accepted. But for the gang's leader, the burgeoning disaster of his new friend's life suggests a golden opportunity to do something better with his own.<br /><br />While that may sound relatively interesting, it's anything but. The first half of it is incredibly meandering and tedious, while the ""hijacking"" only takes place towards the end with some very poorly executed low speed car chases. In those ""chases"", only two police cars are used, both of which are early 90's Nissan Sunny's. Not only would these be rather cheap to pick up (and I find it rather hard to believe they'd be using such mundane old cars in South Africa in the year 2000), but as far as I can remember, there's only 2 involved and none of them get a scratch once. The car chases are very badly shot, with distant and badly timed camera angles and minimal traffic on the roads, and they're all over in around 2 minutes at maximum as you're supposed to believe that a very small kid is actually a highly skilled driver who can easily evade the police despite the driving being pedestrian and utterly unexciting. This now leads me onto the characters and the acting, which are equally bad. The aforementioned kid who drives the car, looks about 13 years old and supposedly is extremely skilled at losing the incredibly inept police. Everybody else is equally unconvincing, so much that they even look bored at times themselves.<br /><br />At the closing scene of the movie, our main character (""Sox Moraka"") is asked by the gang leader to steal a car from a car park. While having trouble opening it, the Police arrive and ask him what he's doing and he replies by telling him it's their car. After a brief argument they try to arrest him and he then holds the Police at gunpoint and jumps back in their car. After he's in, the Police return fire and in turn he gets wounded. After another pathetic chase sequence, they decide to abandon the car and set it alight to destroy any evidence. What follows here is one of the most downright laughable and hideously awful special effects I've ever seen. When the car ""explodes"", superimposed flames suddenly appear from every window with awful sound effects that aren't even in time. It's so badly done and so phony looking that it's hard to even put it into words, and really needs to be seen to be believed. If you watch it in slow motion it looks even funnier. I've seen better effects than this in murder reconstruction documentaries. The car is a Volkswagen Golf MK2 GTi. Something that wouldn't be worth a huge amount at all, and they seriously couldn't afford to destroy it with a real explosion? I'd love to know how large the budget for this movie was. It feels so cheap that I'm surprised it made it outside of South Africa, and even more surprised it made it to a DVD release.<br /><br />I know it's not a big budget Hollywood production. I know it's meant to depict gangs in impoverished townships of South Africa who steal cars from the middle class in and sell the parts on the black market, but with the laughable effects, poorly executed car chases, awful acting and ludicrous characters, any sense of reality is completely lost.<br /><br />Overall, I most certainly do NOT advise you to watch this. If you want to have a laugh and see one of the most poorly done, low budget messes of amovie ever created, then I'd recommend it for that, and only that.<br /><br />It is a wretched, poorly made, poorly edited, poorly paced and tedious piece of low budget drivel that fails on all counts. I've seen many South African movies, including lots of cheap NuImage/Nu-World action pictures, and despite their cheesiness, they're far better than this on all counts.""",0
28,"""Any movie with ""National Lampoon"" in the title is absolutely guaranteed to die a death in London,England,Paris,France,Rome,Italy,and anywhere in Germany.It may be an institution in the U.S. but it is practically unknown in Europe to the larger audience.""National Lampoon's European Vacation"" is unlikely to rectify that situation. The appalling Griswalds are just that - appalling.They are not funny. Clearly Mr Chevy Chase thinks he's funny, after all Miss B.di Angelo laughs a lot at his jokes,but she's getting paid for it and didn't have to fork out £2.50 for the privilege. The section set in England is typical.The same old same old TV performers, Messrs Idle,Smith,Coltrane,Miss M.Lippman trot out the same old same old tired clichés,Mr Chase gets lost in the hotel corridor....yawn,yawn,yawn.. Bucking - ham Palace,Big Ben......I feel cheated that we never saw bobbies on bicycles two-by-two.........rosie red cheeks on the little chil - dren,need I go on? The English are buffoons,the French vicious - tongued Yank-haters.The Germans pompous and puffed up,(don't mention the war,Clark),and the Italians lecherous bottom-pinchers.Have I forgotten anything? Every possible ""comic"" situation is worked to death,Mr Chase gurns desperately,Miss di Angelo dimples sweetly,the children are embarrassingly bad. The fact that this franchise ran as long as it did must bring comfort to those who propound that you never lose money by underestimating public taste.""",0
29,"""I would have given it a one instead of a two, but I suppose it COULD have been worse. I guess the acting isn't all that bad, but the plot lacks anything even remotely close to interesting. It is a terrible movie!! TERRIBLE! Complete waste of time! I strongly suggest you do not watch this movie.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!""",0
